rank,season,combo_key,combo_url,blade,assist_blade,ratchet,bit,lock_chip,score,placements_1st,placements_2nd,placements_3rd,placements_4th,total_placements,win_rate,podium_rate
77,All Time,AeroPegasus|None|7-60|Level|None,https://beybladexmeta.com/combo/AeroPegasus|None|7-60|Level|None?season=All+Time,AeroPegasus,None,7-60,Level,None,294,0,1,0,0,1,0.0,1.0
78,All Time,SilverWolf|None|7-60|Hexa|None,https://beybladexmeta.com/combo/SilverWolf|None|7-60|Hexa|None?season=All+Time,SilverWolf,None,7-60,Hexa,None,294,0,1,0,0,1,0.0,1.0
79,All Time,KnightMail|None|7-60|Rush|None,https://beybladexmeta.com/combo/KnightMail|None|7-60|Rush|None?season=All+Time,KnightMail,None,7-60,Rush,None,287,0,1,0,0,1,0.0,1.0
80,All Time,KnightMail|None|9-60|Rush|None,https://beybladexmeta.com/combo/KnightMail|None|9-60|Rush|None?season=All+Time,KnightMail,None,9-60,Rush,None,280,1,0,0,0,1,1.0,1.0
81,All Time,HoverWyvern|None|1-60|Jolt|None,https://beybladexmeta.com/combo/HoverWyvern|None|1-60|Jolt|None?season=All+Time,HoverWyvern,None,1-60,Jolt,None,280,0,1,0,1,2,0.0,0.5
82,All Time,TyrannoBeat|None|1-60|Level|None,https://beybladexmeta.com/combo/TyrannoBeat|None|1-60|Level|None?season=All+Time,TyrannoBeat,None,1-60,Level,None,280,1,0,0,0,1,1.0,1.0
83,All Time,WizardRod|None|1-60|LowOrb|None,https://beybladexmeta.com/combo/WizardRod|None|1-60|LowOrb|None?season=All+Time,WizardRod,None,1-60,LowOrb,None,280,1,0,1,0,2,0.5,1.0
84,All Time,GolemRock|None|7-60|Ball|None,https://beybladexmeta.com/combo/GolemRock|None|7-60|Ball|None?season=All+Time,GolemRock,None,7-60,Ball,None,266,0,1,0,0,1,0.0,1.0
85,All Time,TyrannoBeat|None|3-60|LowRush|None,https://beybladexmeta.com/combo/TyrannoBeat|None|3-60|LowRush|None?season=All+Time,TyrannoBeat,None,3-60,LowRush,None,266,0,1,0,0,1,0.0,1.0
86,All Time,SharkScale|None|1-70|RubberAccel|None,https://beybladexmeta.com/combo/SharkScale|None|1-70|RubberAccel|None?season=All+Time,SharkScale,None,1-70,RubberAccel,None,252,0,1,0,0,1,0.0,1.0
87,All Time,SilverWolf|None|3-80|LowOrb|None,https://beybladexmeta.com/combo/SilverWolf|None|3-80|LowOrb|None?season=All+Time,SilverWolf,None,3-80,LowOrb,None,250,0,0,1,0,1,0.0,1.0
88,All Time,HoverWyvern|None|9-60|Orb|None,https://beybladexmeta.com/combo/HoverWyvern|None|9-60|Orb|None?season=All+Time,HoverWyvern,None,9-60,Orb,None,240,0,0,1,0,1,0.0,1.0
89,All Time,Blast|Slash|9-60|Wedge|None,https://beybladexmeta.com/combo/Blast|Slash|9-60|Wedge|None?season=All+Time,Blast,Slash,9-60,Wedge,None,240,1,0,0,0,1,1.0,1.0
90,All Time,DranBuster|None|1-60|LowFlat|None,https://beybladexmeta.com/combo/DranBuster|None|1-60|LowFlat|None?season=All+Time,DranBuster,None,1-60,LowFlat,None,240,0,0,1,0,1,0.0,1.0
91,All Time,WizardRod|None|3-60|Hexa|None,https://beybladexmeta.com/combo/WizardRod|None|3-60|Hexa|None?season=All+Time,WizardRod,None,3-60,Hexa,None,240,1,0,0,0,1,1.0,1.0
92,All Time,Blast|Heavy|1-60|Rush|emperor,https://beybladexmeta.com/combo/Blast|Heavy|1-60|Rush|emperor?season=All+Time,Blast,Heavy,1-60,Rush,emperor,238,0,1,0,0,1,0.0,1.0
93,All Time,SharkScale|None|3-60|Kick|None,https://beybladexmeta.com/combo/SharkScale|None|3-60|Kick|None?season=All+Time,SharkScale,None,3-60,Kick,None,235,0,0,2,0,2,0.0,1.0
94,All Time,AeroPegasus|None|1-70|Rush|None,https://beybladexmeta.com/combo/AeroPegasus|None|1-70|Rush|None?season=All+Time,AeroPegasus,None,1-70,Rush,None,230,1,0,0,0,1,1.0,1.0
95,All Time,Blast|Heavy|9-60|Level|emperor,https://beybladexmeta.com/combo/Blast|Heavy|9-60|Level|emperor?season=All+Time,Blast,Heavy,9-60,Level,emperor,224,0,1,0,0,1,0.0,1.0
96,All Time,HoverWyvern|None|7-60|Level|None,https://beybladexmeta.com/combo/HoverWyvern|None|7-60|Level|None?season=All+Time,HoverWyvern,None,7-60,Level,None,224,0,1,0,0,1,0.0,1.0
97,All Time,PhoenixWing|None|9-60|LowRush|None,https://beybladexmeta.com/combo/PhoenixWing|None|9-60|LowRush|None?season=All+Time,PhoenixWing,None,9-60,LowRush,None,217,0,1,0,0,1,0.0,1.0
98,All Time,HoverWyvern|None|1-60|HighNeedle|None,https://beybladexmeta.com/combo/HoverWyvern|None|1-60|HighNeedle|None?season=All+Time,HoverWyvern,None,1-60,HighNeedle,None,217,0,1,0,0,1,0.0,1.0
99,All Time,DranBuster|None|9-60|LowFlat|None,https://beybladexmeta.com/combo/DranBuster|None|9-60|LowFlat|None?season=All+Time,DranBuster,None,9-60,LowFlat,None,210,0,1,0,0,1,0.0,1.0
100,All Time,ImpactDrake|None|4-60|Rush|None,https://beybladexmeta.com/combo/ImpactDrake|None|4-60|Rush|None?season=All+Time,ImpactDrake,None,4-60,Rush,None,210,0,1,0,0,1,0.0,1.0
1,Off Season 2025,WizardRod|None|1-60|Hexa|None,https://beybladexmeta.com/combo/WizardRod|None|1-60|Hexa|None?season=Off+Season+2025,WizardRod,None,1-60,Hexa,None,1461,3,4,2,1,10,0.3,0.9
2,Off Season 2025,SilverWolf|None|9-60|FreeBall|None,https://beybladexmeta.com/combo/SilverWolf|None|9-60|FreeBall|None?season=Off+Season+2025,SilverWolf,None,9-60,FreeBall,None,1186,3,2,4,1,10,0.3,0.9
3,Off Season 2025,SharkScale|None|1-70|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|1-70|LowRush|None?season=Off+Season+2025,SharkScale,None,1-70,LowRush,None,988,3,1,0,0,4,0.75,1.0
4,Off Season 2025,WizardRod|None|9-60|Ball|None,https://beybladexmeta.com/combo/WizardRod|None|9-60|Ball|None?season=Off+Season+2025,WizardRod,None,9-60,Ball,None,776,0,1,4,0,5,0.0,1.0
5,Off Season 2025,CobaltDragoon|None|5-60|Elevate|None,https://beybladexmeta.com/combo/CobaltDragoon|None|5-60|Elevate|None?season=Off+Season+2025,CobaltDragoon,None,5-60,Elevate,None,716,0,2,3,0,5,0.0,1.0
6,Off Season 2025,PhoenixWing|None|1-60|Rush|None,https://beybladexmeta.com/combo/PhoenixWing|None|1-60|Rush|None?season=Off+Season+2025,PhoenixWing,None,1-60,Rush,None,591,2,1,1,0,4,0.5,1.0
7,Off Season 2025,SharkScale|None|3-60|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|3-60|LowRush|None?season=Off+Season+2025,SharkScale,None,3-60,LowRush,None,576,0,0,4,1,5,0.0,0.8
8,Off Season 2025,SilverWolf|None|9-70|FreeBall|None,https://beybladexmeta.com/combo/SilverWolf|None|9-70|FreeBall|None?season=Off+Season+2025,SilverWolf,None,9-70,FreeBall,None,496,1,1,0,0,2,0.5,1.0
9,Off Season 2025,SharkScale|None|1-60|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|1-60|LowRush|None?season=Off+Season+2025,SharkScale,None,1-60,LowRush,None,433,1,1,2,0,4,0.25,1.0
10,Off Season 2025,KnightMail|None|1-60|Rush|None,https://beybladexmeta.com/combo/KnightMail|None|1-60|Rush|None?season=Off+Season+2025,KnightMail,None,1-60,Rush,None,395,1,0,3,0,4,0.25,1.0
11,Off Season 2025,SharkScale|None|4-50|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|4-50|LowRush|None?season=Off+Season+2025,SharkScale,None,4-50,LowRush,None,378,0,2,0,0,2,0.0,1.0
12,Off Season 2025,WizardRod|None|1-60|FreeBall|None,https://beybladexmeta.com/combo/WizardRod|None|1-60|FreeBall|None?season=Off+Season+2025,WizardRod,None,1-60,FreeBall,None,360,0,0,3,0,3,0.0,1.0
13,Off Season 2025,WizardRod|None|1-70|Hexa|None,https://beybladexmeta.com/combo/WizardRod|None|1-70|Hexa|None?season=Off+Season+2025,WizardRod,None,1-70,Hexa,None,338,2,1,0,0,3,0.6667,1.0
14,Off Season 2025,Blast|Heavy|9-60|Taper|emperor,https://beybladexmeta.com/combo/Blast|Heavy|9-60|Taper|emperor?season=Off+Season+2025,Blast,Heavy,9-60,Taper,emperor,300,1,0,0,0,1,1.0,1.0
15,Off Season 2025,TyrannoBeat|None|1-60|Level|None,https://beybladexmeta.com/combo/TyrannoBeat|None|1-60|Level|None?season=Off+Season+2025,TyrannoBeat,None,1-60,Level,None,280,1,0,0,0,1,1.0,1.0
16,Off Season 2025,KnightMail|None|9-60|Rush|None,https://beybladexmeta.com/combo/KnightMail|None|9-60|Rush|None?season=Off+Season+2025,KnightMail,None,9-60,Rush,None,280,1,0,0,0,1,1.0,1.0
17,Off Season 2025,Blast|Slash|9-60|Wedge|None,https://beybladexmeta.com/combo/Blast|Slash|9-60|Wedge|None?season=Off+Season+2025,Blast,Slash,9-60,Wedge,None,240,1,0,0,0,1,1.0,1.0
18,Off Season 2025,WizardRod|None|3-60|Hexa|None,https://beybladexmeta.com/combo/WizardRod|None|3-60|Hexa|None?season=Off+Season+2025,WizardRod,None,3-60,Hexa,None,240,1,0,0,0,1,1.0,1.0
19,Off Season 2025,CobaltDragoon|None|9-60|Elevate|None,https://beybladexmeta.com/combo/CobaltDragoon|None|9-60|Elevate|None?season=Off+Season+2025,CobaltDragoon,None,9-60,Elevate,None,240,1,0,0,0,1,1.0,1.0
20,Off Season 2025,SharkScale|None|4-50|Point|None,https://beybladexmeta.com/combo/SharkScale|None|4-50|Point|None?season=Off+Season+2025,SharkScale,None,4-50,Point,None,210,2,0,0,0,2,1.0,1.0
21,Off Season 2025,ImpactDrake|None|4-60|Rush|None,https://beybladexmeta.com/combo/ImpactDrake|None|4-60|Rush|None?season=Off+Season+2025,ImpactDrake,None,4-60,Rush,None,210,0,1,0,0,1,0.0,1.0
22,Off Season 2025,PhoenixWing|None|3-60|Rush|None,https://beybladexmeta.com/combo/PhoenixWing|None|3-60|Rush|None?season=Off+Season+2025,PhoenixWing,None,3-60,Rush,None,183,0,1,1,0,2,0.0,1.0
23,Off Season 2025,Blast|Jaggy|3-60|Rush|None,https://beybladexmeta.com/combo/Blast|Jaggy|3-60|Rush|None?season=Off+Season+2025,Blast,Jaggy,3-60,Rush,None,168,0,1,0,0,1,0.0,1.0
24,Off Season 2025,Blast|Heavy|9-60|Kick|emperor,https://beybladexmeta.com/combo/Blast|Heavy|9-60|Kick|emperor?season=Off+Season+2025,Blast,Heavy,9-60,Kick,emperor,168,0,1,0,0,1,0.0,1.0
25,Off Season 2025,PhoenixWing|None|1-70|Rush|None,https://beybladexmeta.com/combo/PhoenixWing|None|1-70|Rush|None?season=Off+Season+2025,PhoenixWing,None,1-70,Rush,None,165,1,0,1,0,2,0.5,1.0
26,Off Season 2025,HoverWyvern|None|9-60|Kick|None,https://beybladexmeta.com/combo/HoverWyvern|None|9-60|Kick|None?season=Off+Season+2025,HoverWyvern,None,9-60,Kick,None,164,1,1,0,0,2,0.5,1.0
27,Off Season 2025,HoverWyvern|None|1-60|Kick|None,https://beybladexmeta.com/combo/HoverWyvern|None|1-60|Kick|None?season=Off+Season+2025,HoverWyvern,None,1-60,Kick,None,150,0,0,1,0,1,0.0,1.0
28,Off Season 2025,SilverWolf|None|5-60|FreeBall|None,https://beybladexmeta.com/combo/SilverWolf|None|5-60|FreeBall|None?season=Off+Season+2025,SilverWolf,None,5-60,FreeBall,None,150,0,0,1,0,1,0.0,1.0
29,Off Season 2025,GolemRock|None|3-60|FreeBall|None,https://beybladexmeta.com/combo/GolemRock|None|3-60|FreeBall|None?season=Off+Season+2025,GolemRock,None,3-60,FreeBall,None,150,0,0,1,0,1,0.0,1.0
30,Off Season 2025,WizardRod|None|1-60|Rush|None,https://beybladexmeta.com/combo/WizardRod|None|1-60|Rush|None?season=Off+Season+2025,WizardRod,None,1-60,Rush,None,147,0,2,0,0,2,0.0,1.0
31,Off Season 2025,ImpactDrake|None|4-60|Kick|None,https://beybladexmeta.com/combo/ImpactDrake|None|4-60|Kick|None?season=Off+Season+2025,ImpactDrake,None,4-60,Kick,None,140,0,0,1,0,1,0.0,1.0
32,Off Season 2025,SilverWolf|None|3-60|Hexa|None,https://beybladexmeta.com/combo/SilverWolf|None|3-60|Hexa|None?season=Off+Season+2025,SilverWolf,None,3-60,Hexa,None,140,0,0,1,0,1,0.0,1.0
33,Off Season 2025,WizardRod|None|1-60|LowOrb|None,https://beybladexmeta.com/combo/WizardRod|None|1-60|LowOrb|None?season=Off+Season+2025,WizardRod,None,1-60,LowOrb,None,130,1,0,0,0,1,1.0,1.0
34,Off Season 2025,CobaltDragoon|None|4-60|Elevate|None,https://beybladexmeta.com/combo/CobaltDragoon|None|4-60|Elevate|None?season=Off+Season+2025,CobaltDragoon,None,4-60,Elevate,None,130,1,0,0,0,1,1.0,1.0
35,Off Season 2025,SharkEdge|None|3-60|LowFlat|None,https://beybladexmeta.com/combo/SharkEdge|None|3-60|LowFlat|None?season=Off+Season+2025,SharkEdge,None,3-60,LowFlat,None,129,0,0,2,1,3,0.0,0.6667
36,Off Season 2025,SilverWolf|None|9-70|Ball|None,https://beybladexmeta.com/combo/SilverWolf|None|9-70|Ball|None?season=Off+Season+2025,SilverWolf,None,9-70,Ball,None,120,0,0,1,0,1,0.0,1.0
37,Off Season 2025,SilverWolf|None|9-60|UnderNeedle|None,https://beybladexmeta.com/combo/SilverWolf|None|9-60|UnderNeedle|None?season=Off+Season+2025,SilverWolf,None,9-60,UnderNeedle,None,120,0,0,1,0,1,0.0,1.0
38,Off Season 2025,SharkScale|None|3-60|Kick|None,https://beybladexmeta.com/combo/SharkScale|None|3-60|Kick|None?season=Off+Season+2025,SharkScale,None,3-60,Kick,None,120,0,0,1,0,1,0.0,1.0
39,Off Season 2025,WizardRod|None|7-60|Hexa|None,https://beybladexmeta.com/combo/WizardRod|None|7-60|Hexa|None?season=Off+Season+2025,WizardRod,None,7-60,Hexa,None,120,0,0,1,0,1,0.0,1.0
40,Off Season 2025,SharkScale|None|4-50|UnderFlat|None,https://beybladexmeta.com/combo/SharkScale|None|4-50|UnderFlat|None?season=Off+Season+2025,SharkScale,None,4-50,UnderFlat,None,120,1,0,0,0,1,1.0,1.0
41,Off Season 2025,DranSword|None|1-60|Rush|None,https://beybladexmeta.com/combo/DranSword|None|1-60|Rush|None?season=Off+Season+2025,DranSword,None,1-60,Rush,None,120,0,0,1,0,1,0.0,1.0
42,Off Season 2025,TyrannoBeat|None|5-60|Kick|None,https://beybladexmeta.com/combo/TyrannoBeat|None|5-60|Kick|None?season=Off+Season+2025,TyrannoBeat,None,5-60,Kick,None,120,1,0,0,0,1,1.0,1.0
43,Off Season 2025,HoverWyvern|None|3-60|Kick|None,https://beybladexmeta.com/combo/HoverWyvern|None|3-60|Kick|None?season=Off+Season+2025,HoverWyvern,None,3-60,Kick,None,110,0,0,2,0,2,0.0,1.0
44,Off Season 2025,SamuraiSaber|None|5-60|Taper|None,https://beybladexmeta.com/combo/SamuraiSaber|None|5-60|Taper|None?season=Off+Season+2025,SamuraiSaber,None,5-60,Taper,None,105,0,0,2,0,2,0.0,1.0
45,Off Season 2025,DranDagger|None|4-60|Rush|None,https://beybladexmeta.com/combo/DranDagger|None|4-60|Rush|None?season=Off+Season+2025,DranDagger,None,4-60,Rush,None,105,0,0,2,0,2,0.0,1.0
46,Off Season 2025,PhoenixWing|None|3-60|LowFlat|None,https://beybladexmeta.com/combo/PhoenixWing|None|3-60|LowFlat|None?season=Off+Season+2025,PhoenixWing,None,3-60,LowFlat,None,91,0,1,0,0,1,0.0,1.0
47,Off Season 2025,SharkScale|None|3-60|Level|None,https://beybladexmeta.com/combo/SharkScale|None|3-60|Level|None?season=Off+Season+2025,SharkScale,None,3-60,Level,None,84,0,1,0,0,1,0.0,1.0
48,Off Season 2025,PhoenixWing|None|3-70|LowRush|None,https://beybladexmeta.com/combo/PhoenixWing|None|3-70|LowRush|None?season=Off+Season+2025,PhoenixWing,None,3-70,LowRush,None,84,0,1,0,0,1,0.0,1.0
49,Off Season 2025,WizardRod|None|6-60|Ball|None,https://beybladexmeta.com/combo/WizardRod|None|6-60|Ball|None?season=Off+Season+2025,WizardRod,None,6-60,Ball,None,84,0,1,0,0,1,0.0,1.0
50,Off Season 2025,DranBuster|None|1-60|Rush|None,https://beybladexmeta.com/combo/DranBuster|None|1-60|Rush|None?season=Off+Season+2025,DranBuster,None,1-60,Rush,None,84,0,0,1,1,2,0.0,0.5
51,Off Season 2025,TyrannoBeat|None|6-60|Kick|None,https://beybladexmeta.com/combo/TyrannoBeat|None|6-60|Kick|None?season=Off+Season+2025,TyrannoBeat,None,6-60,Kick,None,65,0,0,1,0,1,0.0,1.0
52,Off Season 2025,SharkScale|None|4-60|UnderFlat|None,https://beybladexmeta.com/combo/SharkScale|None|4-60|UnderFlat|None?season=Off+Season+2025,SharkScale,None,4-60,UnderFlat,None,65,0,0,1,0,1,0.0,1.0
53,Off Season 2025,Blast|Assault|9-60|LowRush|None,https://beybladexmeta.com/combo/Blast|Assault|9-60|LowRush|None?season=Off+Season+2025,Blast,Assault,9-60,LowRush,None,63,0,1,0,0,1,0.0,1.0
54,Off Season 2025,PhoenixWing|None|3-60|Hexa|None,https://beybladexmeta.com/combo/PhoenixWing|None|3-60|Hexa|None?season=Off+Season+2025,PhoenixWing,None,3-60,Hexa,None,60,0,0,1,0,1,0.0,1.0
55,Off Season 2025,TyrannoRoar|None|3-70|Kick|None,https://beybladexmeta.com/combo/TyrannoRoar|None|3-70|Kick|None?season=Off+Season+2025,TyrannoRoar,None,3-70,Kick,None,60,0,0,1,0,1,0.0,1.0
56,Off Season 2025,SamuraiSaber|None|3-60|Hexa|None,https://beybladexmeta.com/combo/SamuraiSaber|None|3-60|Hexa|None?season=Off+Season+2025,SamuraiSaber,None,3-60,Hexa,None,60,0,0,1,0,1,0.0,1.0
57,Off Season 2025,SharkScale|None|9-60|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|9-60|LowRush|None?season=Off+Season+2025,SharkScale,None,9-60,LowRush,None,60,0,0,1,0,1,0.0,1.0
58,Off Season 2025,TyrannoBeat|None|1-70|Kick|None,https://beybladexmeta.com/combo/TyrannoBeat|None|1-70|Kick|None?season=Off+Season+2025,TyrannoBeat,None,1-70,Kick,None,60,0,0,1,0,1,0.0,1.0
59,Off Season 2025,Blast|Heavy|9-60|LowRush|None,https://beybladexmeta.com/combo/Blast|Heavy|9-60|LowRush|None?season=Off+Season+2025,Blast,Heavy,9-60,LowRush,None,56,0,1,0,0,1,0.0,1.0
60,Off Season 2025,PhoenixWing|None|None|Operate|None,https://beybladexmeta.com/combo/PhoenixWing|None|None|Operate|None?season=Off+Season+2025,PhoenixWing,None,None,Operate,None,56,0,1,0,0,1,0.0,1.0
61,Off Season 2025,SharkEdge|None|3-80|LowFlat|None,https://beybladexmeta.com/combo/SharkEdge|None|3-80|LowFlat|None?season=Off+Season+2025,SharkEdge,None,3-80,LowFlat,None,40,0,0,1,0,1,0.0,1.0
62,Off Season 2025,SamuraiSaber|None|7-60|Hexa|None,https://beybladexmeta.com/combo/SamuraiSaber|None|7-60|Hexa|None?season=Off+Season+2025,SamuraiSaber,None,7-60,Hexa,None,40,0,0,1,0,1,0.0,1.0
63,Off Season 2025,KnightMail|None|1-60|Point|None,https://beybladexmeta.com/combo/KnightMail|None|1-60|Point|None?season=Off+Season+2025,KnightMail,None,1-60,Point,None,40,0,0,1,0,1,0.0,1.0
64,Off Season 2025,WizardRod|None|5-60|Ball|None,https://beybladexmeta.com/combo/WizardRod|None|5-60|Ball|None?season=Off+Season+2025,WizardRod,None,5-60,Ball,None,24,0,0,0,1,1,0.0,0.0
